name	N	file_rate	method_or_entity_rate	mrr	top20_hit_rate	dir
full_pathmined	500	0.592000	0.454260	0.263365	0.508000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260531_pathunion_v1
local_path_rank_only	500	0.576000	0.439406	0.278596	0.484000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260531_pathsource_v1
filelocal_symbol_rank	500	0.574000	0.424935	0.251512	0.476000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260531_file_symbol_rank_v1
no_history_codegraph	500	0.636000	0.351665	0.228708	0.410000	runs/codegraph_anchor/tse_timesafe_main_20260531_v2
strict_kg_ablation	500	0.556000	0.337737	0.222404	0.378000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260529_v6
regex_fileexpand	500	0.498000	0.297572	0.175070	0.346000	runs/regex_fileexpand_strict/tse_timesafe_main_20260531_v1
filelocal_source_order	500	0.448000	0.197715	0.063542	0.224000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260531_file_source_order_v1
