metric	issue_only	kg_augmented	delta	ci_low	ci_high	wins	losses	test	p_value
File coverage	87.400	93.400	6.000	4.000	8.200	30	0	McNemar	1.86e-09
Method/entity coverage	52.989	65.479	12.490	9.800	15.200	83	0	paired bootstrap	
MRR	51.231	53.669	2.438	1.600	3.400	58	0	paired bootstrap	
Hit@20	62.400	74.000	11.600	8.800	14.400	58	0	McNemar	6.94e-18
