name	N	file_rate	method_or_entity_rate	mrr	top20_hit_rate
GLM5_DPR_ht10	500	0.930000	0.669187	0.547377	0.762000
GLM5_BLUiR_ht10	500	0.926000	0.668077	0.543647	0.756000
GLM5_BM25_ht10	500	0.950000	0.634010	0.536459	0.726000
GLM5_KG_clean_ht10	500	0.930000	0.604600	0.529134	0.692000
GLM5_issue_only	500	0.874000	0.529894	0.512307	0.624000
