signal	llm_only_hit	llm_kg_hit	both_hit	newly_covered_by_kg	lost_after_fusion	both_miss	net_gain
file	437	467	437	30	0	33	30
top20_hit	312	370	312	58	0	130	58

kg_only_hit	glm_issue_only_hit	both_hit	kg_hits_missed_by_glm	glm_hits_missed_by_kg	union_hit_ceiling
254	312	190	64	122	376
