name	N	file_rate	method_or_entity_rate	mrr	top20_hit_rate	dir
LocalQwen3Coder30B_KG_pathmined_5p5	500	0.708000	0.404268	0.284123	0.466000	temp_run/fusions_pathmined_kg/LocalQwen3Coder30B_pathunion_5p5_top10
KGCompass_top10	500	0.576000	0.390710	0.258856	0.442000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260531_pathunion_v1
LocalDeepSeekCoderV2Lite_KG_pathmined_5p5	500	0.640000	0.387852	0.239563	0.450000	temp_run/fusions_pathmined_kg/LocalDeepSeekCoderV2Lite_pathunion_5p5_top10
LocalQwen3Coder30B_issue_top10	500	0.514000	0.259395	0.257900	0.300000	temp_run/eval_local_qwen3coder30b_issueonly_full500_eval
LocalDeepSeekCoderV2Lite_issue_top10	500	0.278000	0.128983	0.136686	0.156000	temp_run/eval_local_deepseekcoder_v2_lite_issueonly_full500_eval
