name	N	file_rate	method_or_entity_rate	mrr	top20_hit_rate	dir
LocalQwen3Coder30B_KG_5p5_top10	500	0.688000	0.366062	0.276762	0.422000	temp_run/fusions_clean_kg/tse_timesafe_main_20260529_v6/local_qwen3coder30b_kg_clean_5p5_top10_full500
LocalDeepSeekCoderV2Lite_KG_5p5_top10	500	0.596000	0.313432	0.221245	0.368000	temp_run/fusions_clean_kg/tse_timesafe_main_20260529_v6/local_deepseekcoder_v2_lite_kg_clean_5p5_top10_full500
KG_clean_top10	500	0.528000	0.288624	0.219223	0.334000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260529_v6
LocalQwen3Coder30B_issue_top10	500	0.514000	0.259395	0.257900	0.300000	temp_run/eval_local_qwen3coder30b_issueonly_full500_eval
LocalDeepSeekCoderV2Lite_issue_top10	500	0.278000	0.128983	0.136686	0.156000	temp_run/eval_local_deepseekcoder_v2_lite_issueonly_full500_eval
