project	N	LLM	LLM_KG	new	lost	delta_pp
django__django	231	165	188	23	0	10.0
sympy__sympy	75	42	52	10	0	13.3
sphinx-doc__sphinx	44	19	21	2	0	4.5
matplotlib__matplotlib	34	15	20	5	0	14.7
scikit-learn__scikit-learn	32	19	27	8	0	25.0
astropy__astropy	22	14	19	5	0	22.7
pydata__xarray	22	15	16	1	0	4.5
pytest-dev__pytest	19	12	15	3	0	15.8
pylint-dev__pylint	10	5	5	0	0	0.0
psf__requests	8	5	5	0	0	0.0
mwaskom__seaborn	2	1	2	1	0	50.0
pallets__flask	1	0	0	0	0	0.0
