name	N	file_rate	method_or_entity_rate	mrr	top20_hit_rate	dir
bm25_nohint	500	0.770000	0.392046	0.252588	0.460000	runs/text_baselines_nohints/2000
kgcompass_clean	500	0.556000	0.337737	0.222404	0.378000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260529_v6
regex_fileexpand_strict	500	0.498000	0.297572	0.175070	0.346000	runs/regex_fileexpand_strict/tse_timesafe_main_20260531_v1
