context	model	benchmark	candidate_contract	predictions	nonempty_patches	applied_patches	resolved	resolved_pct	missing_report	source_summary
Issue-only Top-20	GLM-5 temp=0	SWE-bench Verified full 500	20 issue-only localization candidates	500	443	437	117	23.4	63	artifacts/results/glm5_temp0_repair_context_probe_20260601/nokg_top20_summary.json
Top-10 + KGCompass Top-10	GLM-5 temp=0	SWE-bench Verified full 500	10 issue-only + 10 path-mined KG candidates	500	485	481	120	24.0	19	artifacts/results/glm5_temp0_repair_context_probe_20260601/kg_10p10_top20_summary.json
