name	N	file_rate	method_or_entity_rate	mrr	top20_hit_rate	dir
Agentless_related_top2groups@20	500	0.798000	0.464111	0.429167	0.542000	tmp_agentless/extracted/loc_outputs.jsonl; first two groups, up to 10 locs/group
Agentless_related_flattened@20_archival	500	0.834000	0.482523	0.436421	0.570000	tmp_agentless/extracted/loc_outputs.jsonl; archived flattened top20
Agentless_top2groups_on_LiteVerified93	93	0.817204	0.482975	0.381183	0.516129	same policy on SWE-bench Lite and Verified intersection subset
