name	N	file_rate	method_or_entity_rate	mrr	top20_hit_rate	hit_delta_pp	hit_wins_vs_issue	hit_losses_vs_issue	hit_mcnemar_p	method_wins_vs_issue	method_losses_vs_issue	file_wins_vs_issue	file_losses_vs_issue	mrr_wins_vs_issue	mrr_losses_vs_issue	dir
GLM5_issue_only	500	0.874000	0.529894	0.512307	0.624000	0.000	0	0	1	0	0	0	0	0	0	temp_run/eval_aliyun_glm5_issueonly
GLM5_CodeGraph_ht10	500	0.936000	0.608862	0.530057	0.696000	7.200	36	0	2.910383e-11	57	0	33	2	36	0	temp_run/fusions_glm5_baseline_controls_20260614_head10/GLM5_CodeGraph_ht10
GLM5_KGCompass_ht10	500	0.934000	0.654793	0.536691	0.740000	11.600	58	0	6.9388939e-18	83	0	30	0	58	0	temp_run/fusions_glm5_baseline_controls_20260614_head10/GLM5_KGCompass_ht10
