name	family	N	edit_target_recall	complete_edit_target_rate	source
BM25	controlled	500	0.392046	0.350000	runs/text_baselines_nohints/2000
KGCompass w/o file-local paths	controlled	500	0.337737	0.308000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260529_v6
KGCompass	controlled	500	0.454260	0.414000	runs/kg_verified_evidence_graph/tse_timesafe_main_20260531_pathunion_v1
GLM-5 issue-only	fusion	500	0.529894	0.462000	temp_run/eval_aliyun_glm5_issueonly
GLM-5+KGCompass	fusion	500	0.654793	0.588000	temp_run/fusions_glm5_baseline_controls_20260614_head10/GLM5_KGCompass_ht10
BM25 files + file-local	bm25_filelocal	500	0.500761	0.446000	temp_run/private_bm25_filelocal_20260704/bm25_top20_files_filelocal
BM25+KG RRF file-local	bm25_kg_rrf_filelocal	500	0.552889	0.490000	temp_run/private_bm25_filelocal_20260704/hybrid_rrf/BM25_KG_deterministic_rrf
GLM-5 + BM25 files + file-local	glm5_bm25_filelocal	500	0.692247	0.622000	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_BM25FileLocal_b20_p10
GLM-5 + BM25+KG RRF file-local	glm5_bm25_kg_rrf_filelocal	500	0.708623	0.642000	temp_run/private_bm25_filelocal_20260704/hybrid_rrf/deterministic_budget_fusions/GLM5_Hybrid_b20_p10
