name	N	top_files	file_hits	file_coverage	dir
KG_grounded_files	500	20	291	0.582	runs/kg_verified_evidence_graph/tse_timesafe_main_20260529_v6
BM25_ranked_files	500	20	402	0.804	runs/text_baselines_nohints/2000
