baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
GLM5_KG_filelocal_b10	GLM5_BM25_filelocal_b10	10	file	500	0.914	0.91	-0.0040000000000000036	-0.024	0.016	11	13	476	0.8388197422027588
GLM5_KG_filelocal_b10	GLM5_BM25_filelocal_b10	10	method	500	0.6113805999555998	0.6353495393495394	0.023968939393939626	-0.0024321428571428597	0.051169913419913414	47	32	421	NA
GLM5_KG_filelocal_b10	GLM5_BM25_filelocal_b10	10	mrr	500	0.5341293650793651	0.5397587301587299	0.005629365079364734	-0.0037746031746031727	0.014443650793650797	46	21	433	NA
GLM5_KG_filelocal_b10	GLM5_BM25_filelocal_b10	10	hit	500	0.7	0.724	0.02400000000000002	-0.004	0.052	32	20	448	0.12634707581392135
GLM5_BM25_filelocal_b10	GLM5_BM25_KG_RRF_b10	10	file	500	0.91	0.916	0.006000000000000005	-0.004	0.016	5	2	493	0.453125
GLM5_BM25_filelocal_b10	GLM5_BM25_KG_RRF_b10	10	method	500	0.6353495393495394	0.6457826562326561	0.010433116883116655	-0.006372727272727273	0.027790476190476195	19	15	466	NA
GLM5_BM25_filelocal_b10	GLM5_BM25_KG_RRF_b10	10	mrr	500	0.5397587301587299	0.5433222222222223	0.0035634920634923795	-0.0005761904761904758	0.008107936507936507	24	14	462	NA
GLM5_BM25_filelocal_b10	GLM5_BM25_KG_RRF_b10	10	hit	500	0.724	0.734	0.010000000000000009	-0.008	0.028	14	9	477	0.4048728942871094
GLM5_issue_b20	GLM5_KG_filelocal_b20	20	file	500	0.874	0.932	0.05800000000000005	0.038	0.08	30	1	469	2.9802322387695312e-08
GLM5_issue_b20	GLM5_KG_filelocal_b20	20	method	500	0.529893573093573	0.6551932484182484	0.12529967532467545	0.09872619047619048	0.15269285714285716	83	0	417	NA
GLM5_issue_b20	GLM5_KG_filelocal_b20	20	mrr	500	0.5123071428571428	0.5366908117596197	0.024383668902476896	0.016315164367795943	0.033911082218435154	58	0	442	NA
GLM5_issue_b20	GLM5_KG_filelocal_b20	20	hit	500	0.624	0.74	0.11599999999999999	0.088	0.144	58	0	442	6.938893903907228e-18
GLM5_issue_b20	GLM5_BM25_filelocal_b20	20	file	500	0.874	0.942	0.06799999999999995	0.046	0.092	34	0	466	1.1641532182693481e-10
